GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
196,2,0,0,1,1,1,4,2,2,3,15,3,13,1,8,0,6,3,850,120,330,1300
198,2,0,1,1,0,1,3,2,2,2,11,1,8,0,7,0,2,1,500,20,220,740
201,2,0,2,1,2,0,8,2,3,7,12,7,7,2,5,0,6,2,980,360,150,1490
202,2,0,2,3,3,2,5,2,3,2,14,7,10,5,0,0,2,0,1550,580,280,2410
291,2,0,0,0,0,1,1,1,1,1,7,0,4,0,1,2,0,3,330,-80,120,370
436,2,0,1,1,3,0,3,3,3,2,2,0,25,5,3,1,4,2,600,250,710,1560
437,2,1,0,1,1,1,2,4,4,1,2,0,20,1,4,0,7,2,410,20,530,960
438,2,1,2,2,1,1,4,4,4,2,2,1,13,0,5,1,10,2,510,-10,290,790
497,2,1,2,0,1,3,0,4,4,0,0,3,14,0,5,2,6,2,50,60,360,470
489,2,1,0,2,0,0,3,3,3,1,2,3,15,2,1,1,2,0,520,230,430,1180
501,2,3,1,3,2,0,13,3,3,10,6,0,15,2,7,0,8,1,1390,100,370,1860
507,2,3,1,0,2,1,3,3,3,3,1,0,13,0,2,0,2,0,690,0,370,1060
512,2,1,0,1,0,2,3,3,3,2,0,2,12,0,3,3,10,4,210,-30,260,440
534,2,3,0,2,3,0,5,3,3,3,9,7,22,1,3,1,5,3,1530,270,610,2410
538,2,0,2,0,0,1,0,3,3,0,2,3,6,0,2,0,9,3,-10,60,90,140
548,2,1,0,1,0,0,2,3,3,1,0,1,11,2,2,0,1,1,240,140,320,700
350,3,1,2,1,1,3,1,2,2,0,13,3,23,2,1,0,7,2,970,200,620,1790
143,3,0,0,1,0,5,7,0,1,6,6,4,14,5,7,0,4,3,310,400,380,1090
222,3,0,2,3,0,0,4,3,3,1,10,6,21,8,8,1,13,1,690,690,500,1880
241,3,3,0,4,0,0,6,2,2,2,4,2,7,4,3,0,4,2,1140,280,170,1590
242,3,1,0,1,2,3,4,3,3,3,4,2,12,3,3,0,3,2,700,220,330,1250
244,3,0,1,0,2,2,3,3,3,3,3,3,15,1,4,2,3,3,330,100,420,850
246,3,2,1,1,0,3,2,3,3,1,8,4,13,2,3,0,3,0,690,280,360,1330
227,3,2,2,0,1,1,6,4,4,6,10,9,19,3,8,2,3,2,730,480,540,1750
223,3,0,0,1,0,4,4,2,2,3,17,4,16,1,5,1,3,4,870,130,450,1450
224,3,1,1,4,3,1,9,3,3,5,9,2,12,6,5,1,0,1,1520,410,360,2290
247,3,1,2,2,2,4,3,3,3,1,20,9,13,2,5,0,2,0,1500,480,370,2350
216,3,2,0,5,3,0,9,3,3,4,16,6,20,2,3,0,5,0,2220,360,550,3130
236,3,0,1,3,3,2,6,3,3,3,8,0,13,3,1,0,3,4,1260,100,360,1720
221,3,0,4,1,0,3,7,3,3,6,16,12,27,4,4,2,2,1,840,680,790,2310
243,3,0,2,4,1,2,12,3,3,8,5,2,7,1,0,1,2,0,1090,130,190,1410
225,3,1,4,3,2,2,5,3,3,2,12,2,13,4,6,0,4,1,1220,300,350,1870
226,3,2,1,2,2,4,2,3,3,0,16,8,26,6,6,2,4,0,1400,660,740,2800
252,3,1,1,2,1,1,4,2,2,2,3,2,17,1,1,0,3,2,700,100,480,1280
233,3,1,2,1,0,0,2,3,3,1,13,4,13,6,7,0,5,0,700,520,340,1560
353,3,1,0,0,2,0,2,2,2,2,4,3,7,2,1,0,6,1,620,220,150,990
238,3,0,0,0,1,5,3,3,3,3,3,8,10,3,9,1,4,4,30,410,260,700
249,3,2,2,1,2,0,8,3,3,7,3,1,11,3,5,0,1,3,790,160,320,1270
231,3,3,3,3,0,5,8,2,2,5,8,9,15,2,4,2,5,1,1110,440,400,1950
240,3,0,4,2,1,2,5,2,3,3,7,0,13,3,0,0,3,3,750,120,360,1230
